id,Country,Area,rank_2010,rank_2015,rank_2020,rank_2021,score_2010,score_2015,score_2020,score_2021,Year,HAQ Index (IHME (2017)),Code,Life expectancy
179,Colombia,Latin America and the Caribbean,78,71,75,77,55.2191994474,57.2919557065,58.2428820532,58.0370812554,2015,67.8,COL,76.531
180,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,1990,32.7,COM,56.677
181,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,1995,34.3,COM,58.722
182,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,2000,38.4,COM,59.46
183,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,2005,44.1,COM,60.126
184,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,2010,47.2,COM,61.862
185,Comoros,Sub-Saharan Africa,131,124,128,130,43.9207312757,46.5396466545,46.5354561584,46.5381215154,2015,47.7,COM,63.471
186,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,1990,32.2,COG,54.638
187,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,1995,31.4,COG,52.583
188,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,2000,33.3,COG,52.123
189,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,2005,39.3,COG,55.6
190,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,2010,41.2,COG,60.093
191,Congo,Sub-Saharan Africa,148,149,153,152,39.5598175647,41.0892472028,41.1319670732,41.045726259,2015,43.5,COG,63.097
192,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,1990,62.1,CRI,75.654
193,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,1995,62.8,CRI,76.579
194,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,2000,65.4,CRI,77.452
195,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,2005,68.6,CRI,78.117
196,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,2010,70.8,CRI,78.769
197,Costa Rica,Latin America and the Caribbean,38,35,38,39,66.9672863451,68.3949127051,68.9045685897,68.6647548036,2015,72.9,CRI,79.565
198,Croatia,Eastern Europe,42,45,43,40,64.4904378305,65.5695722739,67.0409797281,67.9590476582,1990,68.8,HRV,72.315
