,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
228,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,1990,81.9,ISL,78.078
229,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,1995,84.2,ISL,78.762
230,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,2000,87.1,ISL,79.882
231,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,2005,89.8,ISL,81.099
232,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,2010,92.1,ISL,81.801
233,41,Iceland,42.5,65.97,13.64,54.61,47.94,85.9,2015,93.6,ISL,82.481
234,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,1990,68.8,HRV,72.315
235,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,1995,70.4,HRV,73.727
236,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,2000,73.4,HRV,74.794
237,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,2005,76.8,HRV,75.447
238,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,2010,78.9,HRV,76.797
239,42,Croatia,42.31,88.12,14.15,72.84,91.25,87.87,2015,81.6,HRV,77.892
240,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,1990,59.1,JOR,69.872
241,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,1995,62.0,JOR,70.885
242,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,2000,65.0,JOR,71.73
243,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,2005,68.4,JOR,72.595
244,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,2010,74.3,JOR,73.428
245,43,Jordan,41.99,76.84,25.14,59.97,74.42,95.4,2015,76.5,JOR,74.078
246,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,1990,58.8,CHL,73.509
247,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,1995,64.2,CHL,74.957
248,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,2000,69.2,CHL,76.366
249,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,2005,72.0,CHL,77.63
250,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,2010,73.9,CHL,78.779
251,44,Chile,41.97,74.88,19.47,58.95,69.12,91.5,2015,76.0,CHL,79.646
252,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,1990,58.7,LBN,70.266
253,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,1995,63.4,LBN,72.125
254,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2000,68.5,LBN,74.507
255,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2005,73.1,LBN,76.865
256,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2010,77.0,LBN,78.36
257,45,Lebanon,41.63,71.55,16.67,57.07,65.42,89.54,2015,80.0,LBN,78.768
258,46,China,41.4,69.67,15.42,55.99,65.36,89.31,1990,49.5,CHN,69.145
259,46,China,41.4,69.67,15.42,55.99,65.36,89.31,1995,53.7,CHN,69.885
260,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2000,57.8,CHN,71.397
261,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2005,63.7,CHN,72.985
262,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2010,69.9,CHN,74.409
263,46,China,41.4,69.67,15.42,55.99,65.36,89.31,2015,74.2,CHN,75.928
264,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,1990,71.2,SVN,73.202
265,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,1995,72.8,SVN,74.471
266,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2000,76.4,SVN,75.924
267,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2005,79.8,SVN,77.591
268,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2010,84.3,SVN,79.421
269,47,Slovenia,39.85,89.83,14.41,65.29,87.57,87.98,2015,87.4,SVN,80.673
270,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,1990,65.7,LVA,69.053
271,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,1995,62.4,LVA,67.828
272,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2000,68.7,LVA,69.726
273,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2005,70.7,LVA,71.114
274,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2010,74.4,LVA,72.838
275,48,Latvia,39.65,75.65,13.89,58.23,65.85,87.81,2015,77.7,LVA,74.733
276,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,1990,64.6,HUN,69.328
277,49,Hungary,39.37,73.88,14.71,57.18,74.7,88.48,1995,67.2,HUN,70.02
